File;Content.DescriptionLevel;Content.Title
"Inbox/0000000257-Création du compte Instagram.eml";"Item";"0000000257-Création du compte Instagram.eml"
"Inbox/0000000258-[URGENT] Inscription pédagogique.eml";"Item";"0000000258-[URGENT] Inscription pédagogique.eml"
"Inbox/0000000265-Test.eml";"Item";"0000000265-Test.eml"
"Inbox/0000000266-Essai.eml";"Item";"0000000266-Essai.eml"
"Inbox/0000000280-12-13 octobre _ La BHVP vous fait visiter ses coulisses et vous invite à une journée Jeux de société... ancie.eml";"Item";"0000000280-12-13 octobre _ La BHVP vous fait visiter ses coulisses et vous invite à une journée Jeux de société... ancie.eml"
"Inbox/0000000281-Fwd_ Re-logement.eml";"Item";"0000000281-Fwd_ Re-logement.eml"
"Inbox/0000000304-Test.eml";"Item";"0000000304-Test.eml"
"Inbox/0000000336-Undelivered Mail Returned to Sender.eml";"Item";"0000000336-Undelivered Mail Returned to Sender.eml"
"Inbox/0000000340-Re_ Nouvelles et remerciements.eml";"Item";"0000000340-Re_ Nouvelles et remerciements.eml"
"Inbox/0000000342-Re_ Prise de RDV.eml";"Item";"0000000342-Re_ Prise de RDV.eml"
"Inbox/0000000344-Fwd_ Journée de deuil national à la suite du décès de M. Jacques CHIRAC - 30 septembre 2019.eml";"Item";"0000000344-Fwd_ Journée de deuil national à la suite du décès de M. Jacques CHIRAC - 30 septembre 2019.eml"
"Inbox/0000000352-Master.eml";"Item";"0000000352-Master.eml"
"Inbox/0000000360-Re_ Летняя школа в России.eml";"Item";"0000000360-Re_ Летняя школа в России.eml"
"Inbox/0000000362-Intégrer votre signature mél École.eml";"Item";"0000000362-Intégrer votre signature mél École.eml"
"Inbox/0000000363-Votre Crous vous informe - Activation de votre compte Izly.eml";"Item";"0000000363-Votre Crous vous informe - Activation de votre compte Izly.eml"
"Inbox/0000000382-Tr_ Document numérisé à partir d_EMF Kyocera.eml";"Item";"0000000382-Tr_ Document numérisé à partir d'EMF Kyocera.eml"
"Inbox/0000000385-Convocation à l_Assemblée générale du BD2E - 14 octobre 13h15.eml";"Item";"0000000385-Convocation à l'Assemblée générale du BD2E - 14 octobre 13h15.eml"
"Inbox/0000000400-Comédie française.eml";"Item";"0000000400-Comédie française.eml"
"Inbox/0000000401-Fwd_ Comédie française.eml";"Item";"0000000401-Fwd_ Comédie française.eml"
"Inbox/0000000403-___Historic New Orleans Collection à l_ENC - Mardi 8 Oct___.eml";"Item";"0000000403-___Historic New Orleans Collection à l'ENC - Mardi 8 Oct___.eml"
"Inbox/0000000420-Session d_information Mobilité Académique (Erasmus +).eml";"Item";"0000000420-Session d'information Mobilité Académique (Erasmus +).eml"
"Inbox/0000000440-Recherche étudiant en histoire pour faire des recherches documentaires.eml";"Item";"0000000440-Recherche étudiant en histoire pour faire des recherches documentaires.eml"
"Inbox/0000000441-Cours de M. Canteaut du_ vendredi 4 octobre.eml";"Item";"0000000441-Cours de M. Canteaut du_ vendredi 4 octobre.eml"
"Inbox/0000000442-INFO RESS@ BENC _ testez les _Parcours thématiques_ sur la plateforme ENI !.eml";"Item";"0000000442-INFO RESS@ BENC _ testez les 'Parcours thématiques' sur la plateforme ENI !.eml"
